Time,TradingStrategy,BuyAndHold
1,164366,164366
2,162912,162912
3,163644,163619
4,163115,163092
5,163381,163337
6,164731,164628
7,165452,165346
8,166993,166839
9,167244,167048
10,166877,166701
11,166685,166517
12,166937,166743
13,167525,167330
14,168191,167984
15,167446,167251
16,167639,167437
17,168836,168663
18,169551,169309
19,169380,169132
20,171187,170898
21,171194,170946
22,170545,170284
23,170182,169905
24,170088,169770
25,169450,169125
26,170274,169962
27,169513,169168
28,168536,168211
29,168215,167873
30,166899,166553
31,164621,164301
32,163767,163501
33,164501,164226
34,164644,164293
35,164127,163691
36,163501,162999
37,163706,163199
38,164021,163527
39,163452,162998
40,164647,164119
41,162919,162518
42,162974,162582
43,163185,162880
44,163539,163174
45,162739,162371
46,162473,162087
47,160883,160756
48,160196,160218
49,161881,161711
50,162459,162272
51,163044,162900
52,162875,162734
53,164017,163708
54,162844,162611
55,163212,162819
56,162787,162540
57,162556,162172
58,163808,163193
59,163980,163307
60,163656,162943
61,162331,161662
62,163043,162333
63,163503,162767
64,162939,162247
65,162499,161938
66,161241,160777
67,160256,159836
68,160404,159946
69,160936,160372
70,159816,159446
71,159602,159338
72,161312,160775
73,161852,161233
74,161818,161108
75,162013,161262
76,163006,162035
77,163079,162046
78,164057,162907
79,163763,162748
80,164060,163015
81,163554,162698
82,164924,163908
83,165582,164512
84,167034,165770
85,167055,165896
86,167729,166486
87,168362,167036
88,169127,167666
89,170387,168722
90,169536,167736
91,169346,167667
92,168228,166891
93,167905,166612
94,167374,166142
95,166059,164871
96,164093,163021
97,164525,163550
98,165862,164707
99,164866,163971
100,164705,163714
101,163851,162766
102,165303,164088
103,166006,164523
104,167230,165609
105,168743,166843
106,169435,167608
107,169776,168067
108,170563,168783
109,170843,169095
110,171385,169448
111,172483,170503
112,171945,170070
113,172370,170482
114,172434,170493
115,171615,169754
116,170357,168634
117,169953,168316
118,167442,166304
119,168057,166738
120,168108,166879
121,167895,166541
122,168010,166886
123,167412,166420
124,168982,167869
125,169859,168598
126,169540,168597
127,171331,170110
128,172007,170815
129,171910,170786
130,171525,170520
131,172039,170995
132,171436,170207
133,172270,170607
134,172107,170292
135,172130,170597
136,172769,171285
137,174018,172259
138,175945,173915
139,176534,174480
140,177387,175233
141,177345,175053
142,177675,175511
143,178355,176143
144,177801,175507
145,178786,176274
146,178204,175612
147,179422,176659
148,178360,175605
149,177822,174807
150,177714,174638
151,176737,173763
152,176522,173704
153,177090,174232
154,175278,172796
155,173678,171107
156,172594,170195
157,172217,169862
158,172656,170381
159,172538,170174
160,170761,168563
161,171235,169036
162,170839,168715
163,171485,169450
164,170656,168667
165,170102,168218
166,170555,168614
167,170009,168195
168,170232,168611
169,169290,168124
170,169210,168355
171,170678,169616
172,172136,170763
173,172487,171079
174,172925,171631
175,171927,170850
176,170645,169304
177,171423,169909
178,171839,170157
179,170947,169576
180,170135,168783
181,171723,169953
182,173095,170916
183,173423,171395
184,172496,170609
185,171890,169967
186,171606,169843
187,171558,169711
188,171241,169384
189,171203,169176
190,172983,170498
191,174078,171545
192,174594,172199
193,174832,172040
194,173223,170595
195,173411,170661
196,171621,169269
197,171589,169280
198,171236,168962
199,170481,168303
200,170765,168804
201,170435,168796
202,169788,168066
203,171469,169477
204,173012,171069
205,173226,171433
206,173376,171450
207,174306,172061
208,175568,173168
209,175178,172977
210,176808,174197
211,178453,175555
212,178840,175956
213,178740,175912
214,180981,177589
215,180372,177432
216,180870,178252
217,181434,179075
218,182134,179554
219,180523,178122
220,180838,178517
221,182383,179821
222,182854,180201
223,182283,179559
224,182096,179604
225,181069,178727
226,180950,178556
227,181720,178954
228,181234,178783
229,181541,179542
230,180202,178637
231,180571,179242
232,181427,179863
233,180803,179712
234,179263,177964
235,178767,177821
236,179159,177923
237,177332,176405
238,177746,176715
239,178395,177426
240,176959,175548
241,178595,176899
242,178395,177123
243,178796,177395
244,181030,179333
245,181108,179405
246,181352,180070
247,180788,179783
248,179962,178611
249,178997,178005
250,179090,177947
251,179275,178103
252,177014,175620
253,175582,174485
254,176393,175035
255,175002,173680
256,175441,174085
257,175399,174174
258,175490,174740
259,178227,177442
260,178188,177559
261,177075,176619
262,177517,177013
263,177363,177090
264,177153,177122
265,178579,178817
